Serial No.,Faculty Name,Post,Google Scholar Link
1,R. Balasubramanian,Head of the Department,https://scholar.google.com/citations?hl=en&user=QU2O6JMAAAAJ
2,Sugata Gangopadhyay,Professor,https://scholar.google.com/citations?hl=en&user=J7_k8JEAAAAJ
3,Sandeep Kumar Garg,Professor,https://scholar.google.com/citations?hl=en&user=PDz0F-YAAAAJ
4,Chetan Gupta,Assistant professor,https://scholar.google.com/citations?hl=en&user=o1YlSAYAAAAJ
5,Shahbaz Khan,Assistant professor,https://scholar.google.com/citations?hl=en&user=B2L-1BwAAAAJ
6,Aparajita Khan,Assistant professor,https://scholar.google.com/citations?hl=en&user=2c-EW9oAAAAJ
7,Peddoju Sateesh Kumar,Professor,https://scholar.google.com/citations?hl=en&user=iMMhgycAAAAJ
8,Neetesh Kumar,Associate professor,https://scholar.google.com/citations?hl=en&user=Ut_l01AAAAAJ
9,Manoj Mishra,Professor,https://scholar.google.com/citations?hl=en&user=MlDVJJYAAAAJ
10,Rajdeep Niyogi,Professor,https://scholar.google.com/citations?hl=en&user=ktv_WPIAAAAJ
11,Awanish Pandey,Assistant professor,https://scholar.google.com/citations?hl=en&user=LffnjMIAAAAJ
12,Pradumn K. Pandey,Assistant professor,https://scholar.google.com/citations?hl=en&user=7kClcuYAAAAJ
13,Raghvendra Singh Rohit,Assistant professor,https://scholar.google.com/citations?hl=en&user=_yfwxdEAAAAJ
14,Partha Pratim Roy,Associate professor,https://scholar.google.com/citations?hl=en&user=moDpyKkAAAAJ
15,Sudip Roy,Associate professor,https://scholar.google.com/citations?hl=en&user=Sl3l41YAAAAJ
16,Rajat Sadhukhan,Assistant professor,https://scholar.google.com/citations?hl=en&user=69Ue1bkAAAAJ
17,Raksha Sharma,Assistant professor,https://scholar.google.com/citations?hl=en&user=V9oafzsAAAAJ
18,Pravendra Singh,Assistant professor,https://scholar.google.com/citations?hl=en&user=YwDTxJMAAAAJ
19,Dharmendra Singh,Professor,
20,Jitin Singla,Assistant professor,https://scholar.google.com/citations?hl=en&user=OBXIcNAAAAAJ
21,Rahul Thakur,Assistant professor,https://scholar.google.com/citations?hl=en&user=va-wHH4AAAAJ
22,Durga Toshniwal,Professor,https://scholar.google.com/citations?user=2RfI0fkAAAAJ&hl=en&oi=ao
