Title,Authors
"Human visual system and segment-based disparity estimation","Sanoj Kumar, Sanjeev Kumar, Nagarajan Sukavanam, Balasubramanian Raman"
"Script independent scene text segmentation using fast stroke width transform and GrabCut","Jay H Bosamiya, Palash Agrawal, Partha Pratim Roy, Raman Balasubramanian"
"Training and validation dataset of capsule vision 2024 challenge","Palak Handa, Amirreza Mahbod, Florian Schwarzhans, Ramona Woitek, Nidhi Goel, Deepti Chhabra, Shreshtha Jha, Manas Dhir, Deepak Gunjan, Jagadeesh Kakarla, Balasubramanian Raman"
"Chaos based cryptosystem for still visual data","Nidhi Taneja, Balasubramanian Raman, Indra Gupta"
"SecureDL: A privacy preserving deep learning model for image recognition over cloud","Vishesh Kumar Tanwar, Balasubramanian Raman, Amitesh Singh Rajput, Rama Bhargava"
"Visible watermarking based on importance and just noticeable distortion of image regions","Himanshu Agarwal, Debashis Sen, Balasubramanian Raman, Mohan Kankanhalli"
"Multiresolution Depth Map Estimation in PTZ Camera Network","Sanjeev Kumar, Christian Micheloni, Balasubramanian Raman"
"2 nd International Conference on Signal Processing and Integrated Networks (SPIN) 2015 19-20 February, Noida, India","A George, AR Verma, A Veeramani, Aakanksha Rastogi, Aakriti Chaubey, Aayush Bhardwaj, Abhinaba Bhattacharjee, Abhinav Sharma, Abhishek Kumar Roy, Abinash Kumar, Aditi Sharan, Aditya S Kantha, Adyasha Dash, Aiswarya T Das, Ajay Kumar, Akansha Rathor, Akira Matsumoto, Akshita Angra, Alak Banik, Alak Majumder, Alok Kumar Singh, Amitava Das, Amlan Datta, R Anand, T Ananthakrishna, Angana Sarma, Aniket Roy, Anil Kumar Gundu, Animesh Chhotaray, Anindya Poddar, Anirban Sarkar, Anita Thakur, Ankana Das, Ankit Gupta, Ankita Gupta, Ankumoni Bora, Ankur Singh Bist, Ankush Mittal, Anshul Pathak, Anushikha Singh, Aphinat Tiamsuphat, Aradhana Misra, Archiman Lahiry, Arijit Ghosh, S Arish, Arjun Dev, Arpan Kumar Maiti, Arpita Sharma, Arvind Kumar, Asha Rani, Ashik Paul, Ashish Anand, Ashish Issac, Ashutosh Gupta, Askın Demirkol, Aurobinda Routray, Ayush Goyal, Ayush Utkarsh, BK Singh, BS Ghugtyal, B Sravya, Bablu Kumar Singh, Balasubramanian Raman, Barnali Chowdhury, Basant Kumar, Bharadwaj Akella, Bhavin V Kakani, Bhavana Jharia"
"Towards accurate classification of skin cancer from dermatology images","Anjali Gautam, Balasubramanian Raman"
"Neuro-emotional mapping of human emotions via eeg signals","Deepak Kumar, Pradeep Singh, Ashutosh Kumar, Sutirtha Ghosh, Balasubramanian Raman"
"Security solutions for still visual data","Nidhi Taneja, Balasubramanian Raman (PhD advisor)"
"Partice Swarm Optimization Based Fusion of MODIS and PALSAR Images for Hotspot Detection","Tasneem Ahmed, Dharmendra Singh, Shweta Gupta, Balasubramanian Raman"
"Stereo camera calibration using particle swarm optimization","Kusum Deep, Madhuri Arya, Manoj Thakur, Balasubramanian Raman"
"Depth recovery of complex surfaces from texture-less pairs of stereo images","Sanjeev Kumar, M Kumary, N Sukavanamy, R Balasubramaniany, Rama Bhargava"
"SPIHT based Partial Encryption of Digital Images","Nidhi Taneja, Balasubramanian Raman, Indra Gupta"
"Stereo camera calibration using real coded genetic algorithm","Sanjeev Kumar, Manoj Thakur, Balasubramanian Raman, Nagarajan Sukavanam"
"DeepMediX: a deep learning-driven resource-efficient medical diagnosis across the spectrum","Kishore Babu Nampalle, Pradeep Singh, Uppala Vivek Narayan, Balasubramanian Raman"
"Novel bit-reordering circuit for continuous-flow parallel FFT architectures","Balasubramanian Raman, Brajesh Kumar Kaushik"
"Vector ordering and regression learning-based ranking for dynamic summarisation of user videos.","Debashis Sen, Balasubramanian Raman"
"Reconstruction of Polyhedral Objects by Correction of Images and Using Shape from Shading Approach","Manoj Kumar, Balasubramanian Raman, Rama Bhargava"
"SecMed: A secure approach for proving rightful ownership of medical images in encrypted domain over cloud","Aishwary K Pandey, Priyanka Singh, Nishant Agarwal, Balasubramanian Raman"
"Transfer learning based framework for image segmentation using medical images and Tversky similarity","Kishore Babu Nampalle, Vivek Narayan Uppala, Balasubramanian Raman"
"On Demand Routing Protocols for Mobile Ad Hoc Networks: A Review","Indra Gupta, Balasubramanian Raman, Nidhi S Kulkarni"
"Image retrieval using improved texton co-occurrence matrix","Anil Balaji Gonde, RP Maheshwari, Raman Balasubramanian"
"Disparity estimation using fractional dual tree complex wavelet transform","Sanoj Kumar, Sanjeev Kumar, Nagarajan Sukavanam, Balasubramanian Raman"
"DIGITAL WATERMARKING FOR COPYRIGHT PROTECTION AND AUTHENTICATION","Sanjay Rawat"
"Robust watermarking using distributed MR-DCT and SVD","Gaurav Bhatnagar, Balasubramanian Raman"
"Error estimation in reconstruction of quadratic curves in 3D space","Nagarajan Sukavanam, R Balasubramanian, Sanjeev Kumar"
"DMHZ: a decision support system based on machine computational design for heart disease diagnosis using z-alizadeh sani dataset","Ankur Gupta, Harkirat Singh Arora, Rahul Kumar, Balasubramanian Raman"
"Cycloidal trajectory realization on staircase with optimal trajectory tracking control based on neural network temporal quantized Lagrange dynamics (NNTQLD)","Gaurav Bhardwaj, Utkarsh A Mishra, N Sukavanam, R Balasubramanian"
"Computer Vision and Image Processing: 7th International Conference, CVIP 2022, Nagpur, India, November 4–6, 2022, Revised Selected Papers, Part I","Deep Gupta, Kishor Bhurchandi, Subrahmanyam Murala, Balasubramanian Raman, Sanjeev Kumar"
"Reconstruction of a 3-D object (depth) map using Shape from Shading with perspective projections","Sukhendu Das and K. Swaminathan R. Balasubramanian, Rajan. M. P"
"A new robust adjustable logo watermarking scheme","Gaurav Bhatnagar, QM Jonathan Wu, Balasubramanian Raman"
"Robust reference-watermarking scheme using wavelet packet transform and bidiagonal-singular value decomposition","Gaurav Bhatnagar, Balasubramanian Raman"
"Toward encrypted video tampering detection and localization based on POB number system over cloud","Priyanka Singh, Balasubramanian Raman, Nishant Agarwal"
"Neural network temporal quantized lagrange dynamics with cycloidal trajectory for a toe-foot bipedal robot to climb stairs","Gaurav Bhardwaj, Utkarsh A Mishra, Nagarajan Sukavanam, R Balasubramanian"
"Parkinson’s disease diagnosis using neural networks: Survey and comprehensive evaluation","Mohammad Tanveer, Ashraf Haroon Rashid, Rahul Kumar, R Balasubramanian"
"Secure data deduplication using secret sharing schemes over cloud","Priyanka Singh, Nishant Agarwal, Balasubramanian Raman"
"SOFIM: Stochastic Optimization Using Regularized Fisher Information Matrix","C Gayathri, Mrinmay Sen, A Kai Qin, Yen-Wei Chen, Balasubramanian Raman"
"LOCAL AND GLOBAL DESCRIPTORS USING WAVELET BASED FEATURES FOR IMAGE RETRIEVAL","Anil Balaji Gonde"
"Reversible data hiding based on Shamir’s secret sharing for color images over cloud","Priyanka Singh, Balasubramanian Raman"
"Classification of COVID-19 from chest x-ray images using deep features and correlation coefficient","Rahul Kumar, Ridhi Arora, Vipul Bansal, Vinodh J Sahayasheela, Himanshu Buckchash, Javed Imran, Narayanan Narayanan, Ganesh N Pandian, Balasubramanian Raman"
